Classificacao,P/L,P/VP,DY,P/Ativo,ROE,P/Cap.Giro,P/EBIT,PSR,ROIC
C3,20.13,1.13,0.0,732.0,56.0,5.77,13.93,1405.0,0.0577
C3,20.69,2.15,0.0697,1755.0,104.0,14.78,19.95,7438.0,0.0934
C3,9.15,2.19,0.0,1919.0,0.2393,9.86,8.52,2981.0,0.3118
C3,8.93,2.14,0.0,1875.0,0.2393,9.63,8.32,2911.0,0.3118
C2,0.0,1.25,0.0,470.0,0.0,1.39,0.0,0.0,0.0
C3,8.46,1.23,0.0,565.0,0.1456,1.29,10.92,1816.0,0.0559
C3,10.63,1.3,0.1162,814.0,0.1222,3.98,9.95,2230.0,0.0983
C2,2.16,18.88,0.0,441.0,8.7355,3.3,1.65,344.0,0.3341
C2,1.89,16.53,0.0,386.0,8.7355,2.89,1.44,301.0,0.3341
C2,1.94,16.94,0.0,395.0,8.7355,2.96,1.48,309.0,0.3341
C2,9.64,0.39,0.0545,169.0,41.0,0.62,3.31,112.0,0.0872
C2,7.76,0.4,0.0,132.0,0.0511,1.45,2.02,593.0,0.0754
C2,9.34,0.48,0.0,158.0,0.0511,1.75,2.43,714.0,0.0754
C2,7.81,0.4,0.0,133.0,0.0511,1.46,2.03,597.0,0.0754
C2,-7.45,2.6,0.0,357.0,-0.3495,-3.28,3.82,772.0,0.1119
C2,11.88,1.21,0.0545,321.0,0.1019,2.92,3.97,2849.0,0.0898
C2,12.01,1.22,0.0539,325.0,0.1019,2.96,4.02,2882.0,0.0898
C2,11.95,1.22,0.0542,323.0,0.1019,2.94,4.0,2868.0,0.0898
C2,-21.64,2.33,0.0061,229.0,-0.1075,0.78,2.73,550.0,0.1238
C2,12.41,2.74,0.0,177.0,0.2209,5.68,0.98,247.0,0.2122
C2,-12.98,0.55,0.0,142.0,-0.0426,10.87,2.5,392.0,0.0643
C2,-2.83,0.31,0.0,136.0,-109.0,0.37,9.27,1473.0,0.0175
C3,14.01,2.6,0.0,1726.0,0.1859,11.33,8.89,2461.0,0.2204
C1,-1.62,-0.45,0.0,323.0,0.28,-0.22,-4.92,1562.0,-0.1371
C1,-2.21,-0.62,0.0,442.0,0.28,-0.31,-6.74,2137.0,-0.1371
C3,27.34,3.71,0.0269,1160.0,0.1357,5.69,11.24,3848.0,0.1418
C1,-0.04,-0.04,0.0,103.0,1029.0,0.0,-0.52,0.0,0.0
C1,-0.03,-0.03,0.0,91.0,1029.0,0.0,-0.46,0.0,0.0
C2,-11.01,1.17,0.0,301.0,-0.1066,-15.38,3.21,1033.0,0.1049
C3,21.09,2.8,0.0226,1436.0,0.1329,7.31,16.0,1694.0,0.1142
C2,0.29,-0.15,0.0,133.0,-0.5073,-0.2,0.4,-8357.0,0.3538
C3,10.17,1.38,0.0463,593.0,0.1362,9.42,3.95,1165.0,0.1972
C3,4.55,0.95,0.1065,427.0,0.2094,2.9,16.9,2398.0,0.0321
C3,20.0,1.9,0.0,547.0,95.0,4.08,6.78,709.0,0.1193
C1,-4.03,1.62,0.0,314.0,-0.4011,-2.87,-1.71,362.0,-0.2164
C1,-4.15,1.66,0.0,323.0,-0.4011,-2.96,-1.76,372.0,-0.2164
C2,-2.91,-0.24,0.0,275.0,0.0824,-0.39,2.11,268.0,0.1643
C3,18.4,3.74,0.0304,1628.0,0.2033,12.4,14.03,7300.0,0.1673
C3,8.81,7.08,0.1099,3727.0,0.8032,0.0,7.69,0.0,0.0
C1,0.35,-0.14,0.0,31.0,-0.3884,-2.61,-0.43,511.0,-0.0778
C1,0.28,-0.11,0.0,25.0,-0.3884,-2.1,-0.35,411.0,-0.0778
C2,14.84,12.72,0.0642,262.0,0.8567,1.33,2.41,180.0,0.2021
C2,0.36,0.07,0.0,44.0,0.1859,0.29,0.23,63.0,0.2204
C2,0.36,0.07,0.0,44.0,0.1859,0.29,0.23,62.0,0.2204
C3,15.32,1.22,0.0,808.0,0.0795,3.18,14.34,1293.0,0.0696
C1,-4.82,3.53,0.0,1247.0,-0.7328,9.14,-6.18,3495.0,-0.2543
C1,-7.96,5.83,0.0,2061.0,-0.7328,15.1,-10.21,5778.0,-0.2543
C1,-1.66,0.14,0.0,41.0,-0.0824,-0.22,-12.69,0.0,-0.0033
C3,0.0,4.16,0.0,3482.0,0.0,10.24,0.0,0.0,0.0
C3,11.87,1.01,0.0188,811.0,0.0853,1.71,11.22,793.0,0.1394
C3,15.22,1.83,0.0321,1699.0,0.1204,3.34,25.6,4929.0,0.1276
C2,3.35,-2.22,0.0,306.0,-0.6643,-2.1,1.27,175.0,0.3176
C2,6.13,-4.07,0.0,560.0,-0.6643,-3.85,2.33,320.0,0.3176
C3,0.0,6.16,0.0,4874.0,0.0,6.9,0.0,0.0,0.0
C3,14.09,1.18,0.0085,566.0,0.0841,5.26,6.09,1526.0,0.1123
C1,-5.48,2.58,0.0,212.0,-0.47,1.66,-12.53,228.0,-0.0246
C1,-5.14,2.42,0.0,199.0,-0.47,1.56,-11.76,214.0,-0.0246
C1,-4.44,2.09,0.0,172.0,-0.47,1.35,-10.16,185.0,-0.0246
C3,10.65,0.6,0.0,384.0,0.0562,20.27,7.73,4517.0,0.0522
C1,-5.46,-0.97,0.0,572.0,0.1779,-0.67,-13.13,1961.0,-0.0595
C1,-4.04,-0.72,0.0,423.0,0.1779,-0.5,-9.72,1451.0,-0.0595
C2,2.88,1.73,0.0317,256.0,0.5997,1.88,2.84,318.0,0.0993
C3,10.21,6.12,0.0,908.0,0.5997,6.66,10.07,1128.0,0.0993
C3,5.42,2.03,0.0204,1099.0,0.3748,4.37,3.59,842.0,0.3312
C2,3.47,1.3,0.0,705.0,0.3748,2.8,2.3,540.0,0.3312
C1,-11.69,0.7,0.0,460.0,-0.06,0.93,-4.61,1460.0,-0.1519
C3,19.76,2.08,0.0261,466.0,0.1054,11.35,4.82,1613.0,0.1206
C2,-0.48,-0.04,0.0,185.0,0.0785,0.0,-0.65,0.0,0.0
C2,3.54,1.13,0.0,202.0,0.3183,5.87,1.0,139.0,0.2327
C2,3.26,1.04,0.0,186.0,0.3183,5.41,0.92,128.0,0.2327
C2,6.79,1.7,0.1108,405.0,251.0,-8.93,3.07,746.0,0.1413
C2,9.05,2.27,0.0832,540.0,251.0,-11.89,4.09,993.0,0.1413
C2,-6.14,-0.64,0.0,246.0,0.1045,4.16,3.78,374.0,0.0873
C2,-6.82,-0.71,0.0,273.0,0.1045,4.62,4.2,416.0,0.0873
C2,0.0,0.99,0.0,529.0,0.0,3.99,0.0,0.0,0.0
C2,0.0,0.97,0.0,518.0,0.0,3.9,0.0,0.0,0.0
C2,0.0,0.98,0.0,523.0,0.0,3.94,0.0,0.0,0.0
C2,5.15,0.59,0.1045,413.0,0.1141,1.65,5.4,748.0,0.0931
C2,5.41,0.62,0.0994,434.0,0.1141,1.73,5.67,787.0,0.0931
C2,4.71,0.83,0.0812,101.0,0.1759,0.73,6.23,1474.0,0.0523
C3,6.64,1.86,0.0565,807.0,0.2807,12.9,5.57,1227.0,0.1635
C2,4.25,1.19,0.0882,517.0,0.2807,8.26,3.57,786.0,0.1635
C3,10.28,2.35,0.2028,936.0,0.2289,3.7,5.12,1617.0,0.2849
C3,9.01,1.57,0.0,872.0,0.1739,3.47,8.27,1511.0,0.1201
C2,8.11,0.95,0.0169,292.0,0.1172,-2.27,3.14,443.0,0.1103
C2,7.51,0.88,0.0183,270.0,0.1172,-2.1,2.9,410.0,0.1103
C2,5.68,0.67,0.0,204.0,0.1172,-1.59,2.19,310.0,0.1103
C2,-12.7,0.43,0.0,202.0,-0.0335,3.82,4.32,946.0,0.0521
C2,0.04,0.05,0.0,17.0,1.3601,0.03,-0.08,832.0,-0.7999
C2,0.26,0.36,0.0,113.0,1.3601,0.19,-0.57,5684.0,-0.7999
C2,1.07,0.5,0.0,130.0,0.4632,-0.75,0.72,449.0,0.1995
C2,1.04,0.48,0.0,126.0,0.4632,-0.73,0.7,435.0,0.1995
C2,0.0,6.02,0.0,315.0,0.0,-9.57,0.0,0.0,0.0
C3,13.93,1.23,0.0367,498.0,0.0886,7.6,7.19,1223.0,0.0787
C3,13.21,1.17,0.0359,472.0,0.0886,7.2,6.81,1159.0,0.0787
C3,14.03,1.24,0.0372,501.0,0.0886,7.65,7.24,1231.0,0.0787
C2,-11.0,0.42,0.0,54.0,-0.0386,0.2,1.21,232.0,0.0548
C2,7.76,1.92,0.0,939.0,0.2481,-3.92,4.72,2950.0,0.2174
C3,8.56,3.49,0.0,2043.0,0.4082,7.39,5.79,787.0,0.5715
C1,-19.3,2.18,0.0,782.0,-0.1128,1.99,-10.3,999.0,-0.1271
C2,0.11,0.01,0.0,2.0,75.0,0.02,0.03,2.0,0.1136
C3,13.87,2.06,0.1925,1531.0,0.1488,3.02,22.82,2111.0,0.0799
C3,12.47,1.85,0.2142,1376.0,0.1488,2.71,20.51,1897.0,0.0799
C3,9.98,1.48,0.2675,1102.0,0.1488,2.17,16.42,1519.0,0.0799
C3,15.98,1.71,0.0,1127.0,0.1068,3.98,14.09,1748.0,0.1236
C3,30.19,1.04,0.0175,313.0,0.0346,4.82,4.45,682.0,0.0849
C3,6.74,0.96,0.0776,540.0,0.1428,18.5,4.68,1082.0,0.1255
C2,-27.8,0.89,0.2355,196.0,-0.0321,1.69,2.29,371.0,0.1117
C2,6.34,2.66,0.1238,716.0,0.4193,-15.29,4.21,1120.0,0.1921
C2,7.76,3.25,0.1113,877.0,0.4193,-18.71,5.16,1372.0,0.1921
C2,7.26,3.04,0.1189,820.0,0.4193,-17.51,4.83,1283.0,0.1921
C3,8.45,1.73,0.0593,1146.0,0.2049,27.99,6.27,1276.0,0.2184
C2,3.92,-0.84,0.0,183.0,-213.0,0.63,2.07,175.0,0.11
C2,2.42,-0.52,0.0,113.0,-213.0,0.39,1.28,108.0,0.11
C2,2.48,0.03,0.0,3.0,0.0141,0.0,-0.55,0.0,0.0
C1,-2.15,0.31,0.0,140.0,-0.1426,-2.8,-1.3,465.0,-0.1196
C1,-1.56,0.22,0.0,102.0,-0.1426,-2.03,-0.94,337.0,-0.1196
C2,-0.77,0.11,0.0,50.0,-0.1426,-1.0,-0.47,167.0,-0.1196
C1,9.76,56.77,0.0,1141.0,5.8191,3.79,-10.64,317.0,-0.2186
C3,11.97,4.9,0.0167,1667.0,0.4092,3.38,8.51,1869.0,0.2954
C1,-2.19,1.93,0.0,248.0,-0.8807,-2.63,-12.89,834.0,-0.0306
C2,11.24,1.39,0.0,145.0,0.1236,1.87,3.1,526.0,0.0531
C2,6.98,1.59,0.0244,745.0,0.2278,1.73,5.28,562.0,0.2071
C2,6.2,1.41,0.0279,663.0,0.2278,1.53,4.7,500.0,0.2071
C3,12.04,2.35,0.0306,503.0,0.1954,1.45,8.64,1509.0,0.0712
C1,-0.4,-0.03,0.0,30.0,0.0824,-0.32,-0.26,-3064.0,-0.1248
C1,-0.18,-0.01,0.0,14.0,0.0824,-0.15,-0.12,-1393.0,-0.1248
C1,-1.58,-0.66,0.0,420.0,0.4149,-0.87,-2.71,938.0,-0.2864
C2,5.65,0.97,0.0,721.0,0.1725,1.93,2.37,879.0,0.4891
C3,16.62,2.26,0.0,1244.0,0.1359,17.52,10.29,2218.0,0.1438
C3,16.35,2.22,0.0,1224.0,0.1359,17.24,10.12,2182.0,0.1438
C2,9.81,1.09,0.0393,406.0,0.1108,4.57,5.08,840.0,0.0963
