Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
CFLU4   1000.00 0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.0888      0.1072      1.10    0.1768      0.3215 0.00   
MNSA3   0.42    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    -2.0815     -3.6266     3.63    -0.135      1.457 0.00   
MNSA4   0.47    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    -2.0815     -3.6266     3.63    -0.135      1.457 0.00   
IVTT3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.004 0.00   
CLAN3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0105 0.00   
PORP4   2.40    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        -0.0208 0.00   
POPR4   10.17   0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.0866      0.0565      1.08    0.1525      0.1993 0.00   
CSTB4   147.69  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.4085      0.2898      2.60    0.224       0.2011 0.00   
CSTB3   150.00  0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.4085      0.2898      2.60    0.224       0.2011 0.00   
PMET3   0.00    0.00       0.00    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.041 0.00   
GNDI3   66.95   -3584.82   5.84    3.423      0.0239  2.378      79.65      87.05      -6.21       91.13       50.88   0.0393      -0.0009     1.17    0.0309      -0.0016 0.00   
PRNR3   11.40   -1636.72   1.95    0.439      0.0227  0.613      3.68       4.77       -3.88       6.70        4.91    0.092       0.0322      1.49    0.1544      -0.0012 2351970.00
ATOM3   2.09    -614.23    2.72    2.121      0.1533  1.770      1.92       -16.96     2.81        -9.94       -10.69  -0.125      -0.0035     17.09   -0.4057     -0.0044 24283.00
PLDN4   486.00  -553.07    1.08    0.919      0.00    0.611      1.07       -75.56     3.10        -33.12      -33.12  -0.0122     -0.0017     10.81   -0.0127     -0.002 0.00   
LVTC3   4.12    -504.57    0.41    0.278      0.0033  0.192      0.68       1.26       -2.03       0.79        0.42    0.2213      -0.0006     2.75    0.1737      -0.0008 84204.70
GUAR4   151.00  -465.97    15.12   8.708      0.00    5.467      22.57      357.43     -748.30     365.57      92.92   0.0244      -0.0187     1.62    0.0194      -0.0324 0.00   
LWSA3   5.98    -402.29    1.22    2.851      0.0087  0.792      6.07       51.68      10.94       36.64       13.67   0.0552      -0.0071     1.45    0.0205      -0.003 44250300.00
EMBR3   20.39   -369.67    1.18    0.563      0.00    0.290      1.30       6.81       -1.75       9.70        6.35    0.0827      -0.0026     1.65    0.056       -0.0032 102261000.00
LCSA4   35.09   -337.52    -228.00 79.738     0.00    125.308    -202.27    -505.80    -96.61      -506.56     -506.56 -0.1577     -0.2363     0.29    -0.2874     0.6755 0.00   
BHGR3   19.10   -272.16    1.10    3.613      0.00    0.855      -194.45    23.70      -8.56       25.95       14.20   0.1524      -0.0131     0.96    0.0393      -0.004 0.00   
DMMO3   1.76    -258.65    -1.72   2.854      0.00    3.346      11.90      6.37       -1.37       5.90        5.42    0.4481      -0.011      2.25    0.7039      0.0066 0.00   
RJCP3   0.01    -224.70    0.65    0.000      0.00    0.619      0.00       -522.94    0.00        -523.96     -917.32 0.00        0.00        0.00    0.00        -0.0029 0.00   
ABYA3   4.91    -214.80    1.76    2.055      0.00    0.527      1.98       19.96      -2.75       33.67       33.67   0.1029      -0.0096     2.09    0.0278      -0.0082 0.00   
PITI4   1.28    -204.74    0.00    0.000      0.00    0.000      0.00       -2637.65   0.00        -2637.65    111.07  0.00        0.00        0.00    0.00        0.00  0.00   
RRRP3   30.00   -195.74    1.39    1.708      0.00    0.373      124.90     8.02       -0.63       16.67       10.60   0.2128      -0.0152     1.02    0.0503      -0.0071 176823000.00
MAPT3   30.05   -189.15    -4.44   0.000      0.00    35.726     -27615.90  -197.26    -3.95       -197.26     -197.26 0.00        0.00        0.00    -0.1811     0.0235 0.00   
BAUH4   72.90   -134.19    3.85    1.746      0.0166  2.329      27.04      40.92      38.35       38.55       24.21   0.0427      -0.013      1.23    0.0917      -0.0287 10094.40
